Episode,Scenario,Reward,Steps,Success,Collision,RepeatFailure,CorrectReject,FalseReject,RecoverySuccess
266,repeat_failure,1.97,1,True,False,False,True,False,False
267,pedestrian,-1.03,1,False,False,False,False,True,False
268,entrance_misclassification,1.97,1,True,False,False,True,False,False
269,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
270,repeat_failure,1.97,1,True,False,False,True,False,False
271,rough_terrain,1.97,1,True,False,False,True,False,False
272,repeat_failure,1.97,1,True,False,False,True,False,False
273,pedestrian,1.97,1,True,False,False,True,False,False
274,dynamic_obstacle,1.97,1,True,False,False,True,False,False
275,entrance_misclassification,1.97,1,True,False,False,True,False,False
276,rough_terrain,1.97,1,True,False,False,True,False,False
277,repeat_failure,1.97,1,True,False,False,True,False,False
278,repeat_failure,1.97,1,True,False,False,True,False,False
279,rough_terrain,7.5003,1,True,False,False,False,False,False
280,pedestrian,-1.03,1,False,False,False,False,True,False
281,dynamic_obstacle,1.97,1,True,False,False,True,False,False
282,entrance_misclassification,1.97,1,True,False,False,True,False,False
283,entrance_misclassification,1.97,1,True,False,False,True,False,False
284,dynamic_obstacle,-10.4893,2,True,False,False,True,False,False
285,post_collision,1.97,1,True,False,False,True,False,False
286,rough_terrain,1.97,1,True,False,False,True,False,False
287,post_collision,1.97,1,True,False,False,True,False,False
288,repeat_failure,1.97,1,True,False,False,True,False,False
289,repeat_failure,1.97,1,True,False,False,True,False,False
290,post_collision,1.97,1,True,False,False,True,False,False
291,post_collision,-1.03,1,False,False,False,False,True,False
292,entrance_misclassification,2.33,2,True,False,False,True,False,False
293,rough_terrain,1.97,1,True,False,False,True,False,False
294,pedestrian,1.97,1,True,False,False,True,False,False
295,repeat_failure,1.97,1,True,False,False,True,False,False
296,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
297,post_collision,-1.03,1,False,False,False,False,True,False
298,pedestrian,-1.03,1,False,False,False,False,True,False
299,rough_terrain,1.97,1,True,False,False,True,False,False
300,post_collision,1.97,1,True,False,False,True,False,False
301,rough_terrain,-1.03,1,False,False,False,False,True,False
302,repeat_failure,1.97,1,True,False,False,True,False,False
303,dynamic_obstacle,7.7657,1,True,False,False,False,False,False
304,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
305,pedestrian,-1.03,1,False,False,False,False,True,False
306,rough_terrain,1.97,1,True,False,False,True,False,False
307,post_collision,1.97,1,True,False,False,True,False,False
308,pedestrian,1.97,1,True,False,False,True,False,False
309,dynamic_obstacle,1.97,1,True,False,False,True,False,False
310,post_collision,1.97,1,True,False,False,True,False,False
311,entrance_misclassification,1.97,1,True,False,False,True,False,False
312,post_collision,-12.8259,2,True,False,False,True,False,False
313,post_collision,-1.03,1,False,False,False,False,True,False
314,pedestrian,-10.8466,2,True,False,False,True,False,False
315,rough_terrain,1.97,1,True,False,False,True,False,False
316,dynamic_obstacle,1.97,1,True,False,False,True,False,False
317,rough_terrain,-1.03,1,False,False,False,False,True,False
318,entrance_misclassification,-8.7568,2,True,False,False,True,False,False
319,pedestrian,1.97,1,True,False,False,True,False,False
320,rough_terrain,-1.03,1,False,False,False,False,True,False
321,pedestrian,-9.6333,2,True,False,False,True,False,False
322,repeat_failure,1.97,1,True,False,False,True,False,False
323,entrance_misclassification,-9.6586,3,True,False,False,True,False,False
324,post_collision,-1.03,1,False,False,False,False,True,False
325,post_collision,1.97,1,True,False,False,True,False,False
326,dynamic_obstacle,1.97,1,True,False,False,True,False,False
327,repeat_failure,1.97,1,True,False,False,True,False,False
328,post_collision,-1.03,1,False,False,False,False,True,False
329,entrance_misclassification,1.97,1,True,False,False,True,False,False
330,repeat_failure,1.97,1,True,False,False,True,False,False
331,repeat_failure,1.97,1,True,False,False,True,False,False
332,pedestrian,1.97,1,True,False,False,True,False,False
333,post_collision,1.97,1,True,False,False,True,False,False
334,repeat_failure,1.97,1,True,False,False,True,False,False
335,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
