Phase,Scene,Planner,Seed,Success,Length,Clearance,Time
point,w5,RRT*,27,True,47.549,0,0.0375
point,w5,RRT*,28,True,47.805,0,0.0332
point,w5,RRT*,29,True,47.986,0,0.0328
point,w5,RRT*,30,True,48.021,0,0.0368
point,w5,RRT*,31,True,48.21,0,0.0369
point,w5,RRT*,32,True,49.254,0,0.0365
point,w5,RRT*,33,True,49.116,0,0.0306
point,w5,RRT*,34,True,48.254,1,0.0378
point,w5,RRT*,35,True,47.76,0,0.0345
point,w5,RRT*,36,True,47.762,0,0.0352
point,w5,RRT*,37,True,48.974,0,0.0395
point,w5,RRT*,38,True,47.947,0,0.0345
point,w5,RRT*,39,True,49.16,0,0.0369
point,w5,RRT*,40,True,47.593,0,0.0372
point,w5,RRT*,41,True,48.687,0,0.0342
point,w5,RRT*,42,True,47.748,0,0.0381
point,w5,RRT*,43,True,48.212,0,0.0356
point,w5,RRT*,44,True,48.169,0,0.0377
point,w5,RRT*,45,True,47.85,0,0.0329
point,w5,RRT*,46,True,48.192,0,0.0401
point,w5,RRT*,47,True,47.868,0,0.036
point,w5,RRT*,48,True,49.419,0,0.0322
point,w5,RRT*,49,True,48.308,0,0.0345
point,w5,RRT*,50,True,48.183,0,0.0346
point,w5,RRT*,51,True,49.074,0,0.048
point,w5,RRT*,52,True,50.294,0,0.0345
point,w5,RRT*,53,True,49.335,0,0.0385
point,w5,RRT*,54,True,48.089,0,0.0475
point,w5,RRT*,55,True,48.721,0,0.0406
point,w5,RRT*,56,True,48.698,0,0.0346
point,w5,RRT*,57,True,47.621,0,0.0365
point,w5,RRT*,58,True,47.623,0,0.0365
point,w5,RRT*,59,True,49.12,0,0.0381
point,w5,RRT*,60,True,48.752,0,0.0355
point,w5,RRT*,61,True,48.505,0,0.0346
point,w5,RRT*,62,True,48.584,0,0.0345
point,w5,RRT*,63,True,48.489,0,0.0334
point,w5,RRT*,64,True,49.345,0,0.0313
point,w5,RRT*,65,True,47.593,0,0.0389
point,w5,RRT*,66,True,48.207,0,0.0327
point,w5,RRT*,67,True,48.023,0,0.0345
