Strategy,Seed,Mission,ObstacleX,ObstacleStart,ObstacleDuration,Success,Replans,WaitSteps,PathLength,TotalCost
Wait-only,29,0,26,16,43,True,0,43,53.0,182.0
Wait-only,29,1,38,25,31,True,0,30,53.0,143.0
Wait-only,29,2,26,14,34,True,0,34,53.0,155.0
Wait-only,30,0,30,17,27,True,0,26,53.0,131.0
Wait-only,30,1,30,18,23,True,0,23,53.0,122.0
Wait-only,30,2,38,26,36,True,0,36,53.0,161.0
Wait-only,31,0,26,15,33,True,0,33,53.0,152.0
Wait-only,31,1,34,24,16,True,0,16,53.0,101.0
Wait-only,31,2,38,26,18,True,0,18,53.0,107.0
Wait-only,32,0,38,27,26,True,0,26,53.0,131.0
Wait-only,32,1,30,18,20,True,0,20,53.0,113.0
Wait-only,32,2,34,22,9,True,0,9,53.0,80.0
Wait-only,33,0,30,18,16,True,0,16,53.0,101.0
Wait-only,33,1,38,27,39,True,0,39,53.0,170.0
Wait-only,33,2,30,20,8,True,0,8,53.0,77.0
Wait-only,34,0,38,25,17,True,0,16,53.0,101.0
Wait-only,34,1,30,20,45,True,0,45,53.0,188.0
Wait-only,34,2,30,19,13,True,0,13,53.0,92.0
Wait-only,35,0,26,15,41,True,0,41,53.0,176.0
Wait-only,35,1,38,25,8,True,0,7,53.0,74.0
Wait-only,35,2,38,25,45,True,0,44,53.0,185.0
Wait-only,36,0,38,25,22,True,0,21,53.0,116.0
Wait-only,36,1,30,18,13,True,0,13,53.0,92.0
Wait-only,36,2,38,28,8,True,0,8,53.0,77.0
Wait-only,37,0,38,26,37,True,0,37,53.0,164.0
Wait-only,37,1,38,28,2,True,0,2,53.0,59.0
Wait-only,37,2,30,17,34,True,0,33,53.0,152.0
Wait-only,38,0,34,21,32,True,0,31,53.0,146.0
Wait-only,38,1,26,16,7,True,0,7,53.0,74.0
Wait-only,38,2,34,22,38,True,0,38,53.0,167.0
Wait-only,39,0,30,18,12,True,0,12,53.0,89.0
Wait-only,39,1,30,20,23,True,0,23,53.0,122.0
Wait-only,39,2,38,27,23,True,0,23,53.0,122.0
Wait-only,40,0,38,25,33,True,0,32,53.0,149.0
Wait-only,40,1,34,24,43,True,0,43,53.0,182.0
Wait-only,40,2,30,17,19,True,0,18,53.0,107.0
Wait-only,41,0,26,13,29,True,0,28,53.0,137.0
Wait-only,41,1,34,23,37,True,0,37,53.0,164.0
Wait-only,41,2,38,27,35,True,0,35,53.0,158.0
Wait-only,42,0,26,13,37,True,0,36,53.0,161.0
Wait-only,42,1,34,23,24,True,0,24,53.0,125.0
Wait-only,42,2,38,27,33,True,0,33,53.0,152.0
Wait-only,43,0,26,14,7,True,0,7,53.0,74.0
