TrajectoryType,ProcessNoise,BaseRiskRadius,UncertaintyScale,Seed,Mission,Success,Replans,WaitSteps,DecisionWaits,DecisionReroutes,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
turn,0.03,1.5,0.02,1,2,True,4,12,0,0,119.627,1.3779,1.5248,175.627
turn,0.03,1.5,0.02,2,0,False,1,1,0,0,17.0,2.0155,1.5272,265.0
turn,0.03,1.5,0.02,2,1,True,3,7,0,0,105.083,1.2034,1.5249,141.083
turn,0.03,1.5,0.02,2,2,False,2,4,0,0,18.0,0.9292,1.5268,280.0
turn,0.03,1.5,0.02,3,0,False,3,5,0,0,17.0,1.3787,1.5269,287.0
turn,0.03,1.5,0.02,3,1,True,0,0,0,0,73.184,1.3013,1.5252,73.184
turn,0.03,1.5,0.02,3,2,True,4,6,0,0,56.314,1.2146,1.5253,94.314
turn,0.03,1.5,0.02,4,0,True,4,11,0,0,117.527,1.2451,1.5248,170.527
turn,0.03,1.5,0.02,4,1,True,2,6,0,0,122.799,1.2478,1.5248,150.799
turn,0.03,1.5,0.02,4,2,True,1,4,0,0,103.042,1.3539,1.5249,120.042
turn,0.03,1.5,0.05,0,0,False,6,12,0,0,78.314,1.3933,1.5624,384.314
turn,0.03,1.5,0.05,0,1,True,2,6,0,0,127.426,1.2168,1.562,155.426
turn,0.03,1.5,0.05,0,2,True,2,6,0,0,111.627,1.1689,1.5621,139.627
turn,0.03,1.5,0.05,1,0,True,1,3,0,0,85.042,1.4234,1.5625,99.042
turn,0.03,1.5,0.05,1,1,True,3,7,0,0,128.799,1.161,1.5619,164.799
turn,0.03,1.5,0.05,1,2,True,4,12,0,0,119.627,1.3779,1.562,175.627
turn,0.03,1.5,0.05,2,0,False,1,1,0,0,17.0,2.0155,1.5679,265.0
turn,0.03,1.5,0.05,2,1,False,3,6,0,0,27.899,1.2038,1.5652,300.899
turn,0.03,1.5,0.05,2,2,True,0,0,0,0,73.184,1.0883,1.5629,73.184
turn,0.03,1.5,0.05,3,0,False,3,5,0,0,17.0,1.3787,1.5672,287.0
turn,0.03,1.5,0.05,3,1,True,0,0,0,0,73.184,1.3013,1.5629,73.184
turn,0.03,1.5,0.05,3,2,True,4,7,0,0,56.314,1.2097,1.5631,97.314
turn,0.03,1.5,0.05,4,0,True,4,11,0,0,118.355,1.2451,1.562,171.355
turn,0.03,1.5,0.05,4,1,True,4,12,0,0,127.385,1.2371,1.5619,183.385
turn,0.03,1.5,0.05,4,2,True,1,4,0,0,103.042,1.3539,1.5622,120.042
turn,0.03,1.7,0.01,0,0,True,2,8,0,0,120.314,1.3576,1.7124,154.314
turn,0.03,1.7,0.01,0,1,True,2,6,0,0,118.799,1.2236,1.7124,146.799
turn,0.03,1.7,0.01,0,2,True,2,6,0,0,108.314,1.1689,1.7124,136.314
turn,0.03,1.7,0.01,1,0,True,1,3,0,0,85.042,1.4234,1.7125,99.042
turn,0.03,1.7,0.01,1,1,True,3,7,0,0,128.799,1.161,1.7124,164.799
turn,0.03,1.7,0.01,1,2,True,4,12,0,0,119.627,1.3779,1.7124,175.627
turn,0.03,1.7,0.01,2,0,False,1,1,0,0,17.0,2.0155,1.7136,265.0
turn,0.03,1.7,0.01,2,1,True,3,7,0,0,105.083,1.2034,1.7124,141.083
turn,0.03,1.7,0.01,2,2,True,1,5,0,0,56.314,1.1288,1.7126,76.314
turn,0.03,1.7,0.01,3,0,False,3,5,0,0,17.0,1.3787,1.7134,287.0
turn,0.03,1.7,0.01,3,1,True,0,0,0,0,73.184,1.3013,1.7126,73.184
turn,0.03,1.7,0.01,3,2,True,4,6,0,0,56.314,1.2146,1.7126,94.314
turn,0.03,1.7,0.01,4,0,True,4,11,0,0,117.527,1.2451,1.7124,170.527
turn,0.03,1.7,0.01,4,1,True,2,6,0,0,122.799,1.2478,1.7124,150.799
turn,0.03,1.7,0.01,4,2,True,1,4,0,0,103.042,1.3539,1.7124,120.042
turn,0.03,1.7,0.02,0,0,True,2,8,0,0,121.142,1.3576,1.7248,155.142
turn,0.03,1.7,0.02,0,1,True,2,6,0,0,122.799,1.2235,1.7248,150.799
turn,0.03,1.7,0.02,0,2,True,2,6,0,0,108.314,1.1689,1.7248,136.314
turn,0.03,1.7,0.02,1,0,True,1,3,0,0,85.042,1.4234,1.725,99.042
turn,0.03,1.7,0.02,1,1,True,3,7,0,0,128.799,1.161,1.7248,164.799
turn,0.03,1.7,0.02,1,2,True,4,12,0,0,118.799,1.3779,1.7248,174.799
turn,0.03,1.7,0.02,2,0,False,1,1,0,0,17.0,2.0155,1.7272,265.0
turn,0.03,1.7,0.02,2,1,False,3,6,0,0,27.899,1.2038,1.7261,300.899
turn,0.03,1.7,0.02,2,2,True,0,0,0,0,73.184,1.0883,1.7252,73.184
turn,0.03,1.7,0.02,3,0,False,3,5,0,0,17.0,1.3787,1.7269,287.0
turn,0.03,1.7,0.02,3,1,True,0,0,0,0,73.184,1.3013,1.7252,73.184
turn,0.03,1.7,0.02,3,2,True,4,6,0,0,56.314,1.2146,1.7253,94.314
turn,0.03,1.7,0.02,4,0,True,4,11,0,0,118.355,1.2451,1.7248,171.355
turn,0.03,1.7,0.02,4,1,True,2,6,0,0,123.627,1.2478,1.7248,151.627
turn,0.03,1.7,0.02,4,2,True,1,4,0,0,103.042,1.3539,1.7249,120.042
turn,0.03,1.7,0.05,0,0,False,6,12,0,0,78.314,1.3933,1.7624,384.314
turn,0.03,1.7,0.05,0,1,True,2,6,0,0,127.426,1.2168,1.762,155.426
turn,0.03,1.7,0.05,0,2,True,2,6,0,0,108.314,1.1689,1.7621,136.314
turn,0.03,1.7,0.05,1,0,True,1,3,0,0,85.042,1.4234,1.7625,99.042
turn,0.03,1.7,0.05,1,1,True,3,7,0,0,128.799,1.161,1.7619,164.799
turn,0.03,1.7,0.05,1,2,True,4,12,0,0,119.627,1.3779,1.762,175.627
turn,0.03,1.7,0.05,2,0,False,1,1,0,0,17.0,2.0155,1.7679,265.0
turn,0.03,1.7,0.05,2,1,False,3,6,0,0,27.485,1.2038,1.7652,300.485
turn,0.03,1.7,0.05,2,2,True,0,0,0,0,73.184,1.0883,1.7629,73.184
turn,0.03,1.7,0.05,3,0,False,3,5,0,0,17.0,1.3787,1.7672,287.0
turn,0.03,1.7,0.05,3,1,True,0,0,0,0,73.184,1.3013,1.7629,73.184
turn,0.03,1.7,0.05,3,2,False,4,6,0,0,22.828,1.3198,1.7659,300.828
turn,0.03,1.7,0.05,4,0,False,7,16,0,0,44.314,1.2051,1.7633,367.314
turn,0.03,1.7,0.05,4,1,True,2,6,0,0,130.598,1.2565,1.7619,158.598
turn,0.03,1.7,0.05,4,2,True,1,4,0,0,103.042,1.3539,1.7622,120.042
turn,0.08,1.3,0.01,0,0,True,2,7,0,0,94.698,1.5625,1.3148,125.698
turn,0.08,1.3,0.01,0,1,True,7,11,0,0,132.314,1.379,1.3147,200.314
turn,0.08,1.3,0.01,0,2,False,3,5,0,0,25.0,1.1463,1.3151,295.0
turn,0.08,1.3,0.01,1,0,False,1,3,0,0,15.0,1.402,1.3154,269.0
turn,0.08,1.3,0.01,1,1,True,0,1,0,0,73.184,1.3837,1.3148,76.184
turn,0.08,1.3,0.01,1,2,False,3,5,0,0,29.828,1.6117,1.315,299.828
turn,0.08,1.3,0.01,2,0,True,3,5,0,0,57.243,1.5504,1.3148,87.243
turn,0.08,1.3,0.01,2,1,True,3,8,0,0,95.627,1.3897,1.3147,134.627
turn,0.08,1.3,0.01,2,2,True,4,9,0,0,94.113,1.256,1.3148,141.113
turn,0.08,1.3,0.01,3,0,True,4,8,0,0,75.971,1.3688,1.3148,119.971
turn,0.08,1.3,0.01,3,1,True,3,8,0,0,73.142,1.4354,1.3148,112.142
turn,0.08,1.3,0.01,3,2,False,1,3,0,0,18.0,1.5921,1.3153,272.0
turn,0.08,1.3,0.01,4,0,True,2,7,0,0,96.899,1.3941,1.3147,127.899
turn,0.08,1.3,0.01,4,1,True,2,6,0,0,121.142,1.4306,1.3147,149.142
turn,0.08,1.3,0.01,4,2,True,2,4,0,0,109.042,1.5262,1.3147,131.042
turn,0.08,1.3,0.02,0,0,True,2,7,0,0,94.698,1.5625,1.3295,125.698
turn,0.08,1.3,0.02,0,1,True,2,6,0,0,118.314,1.3782,1.3294,146.314
