TrajectoryType,Strategy,Seed,Mission,Success,Replans,WaitSteps,DecisionWaits,DecisionReroutes,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
sudden-acceleration,Constant velocity memory,1013,0,True,1,3,0,0,103.042,1.2546,1.6,117.042
sudden-acceleration,Constant velocity memory,1013,1,True,2,5,0,0,85.042,1.2316,1.6,110.042
sudden-acceleration,Constant velocity memory,1013,2,True,1,3,0,0,101.042,1.2638,1.6,115.042
sudden-acceleration,Constant velocity memory,1014,0,True,1,4,0,0,91.042,1.274,1.6,108.042
sudden-acceleration,Constant velocity memory,1014,1,True,2,4,0,0,117.971,1.2639,1.6,139.971
sudden-acceleration,Constant velocity memory,1014,2,True,1,3,0,0,97.042,1.3573,1.6,111.042
sudden-acceleration,Constant velocity memory,1015,0,True,2,7,0,0,91.042,1.355,1.6,122.042
sudden-acceleration,Constant velocity memory,1015,1,True,1,4,0,0,99.042,1.4329,1.6,116.042
sudden-acceleration,Constant velocity memory,1015,2,True,2,6,0,0,94.899,1.277,1.6,122.899
sudden-acceleration,Constant velocity memory,1016,0,True,1,3,0,0,103.042,1.3933,1.6,117.042
sudden-acceleration,Constant velocity memory,1016,1,True,2,6,0,0,113.042,1.3386,1.6,141.042
sudden-acceleration,Constant velocity memory,1016,2,True,1,3,0,0,107.042,1.3445,1.6,121.042
sudden-acceleration,Constant velocity memory,1017,0,True,1,3,0,0,93.042,1.234,1.6,107.042
sudden-acceleration,Constant velocity memory,1017,1,True,3,9,0,0,98.314,1.2489,1.6,140.314
sudden-acceleration,Constant velocity memory,1017,2,True,1,3,0,0,109.042,1.3205,1.6,123.042
sudden-acceleration,Constant velocity memory,1018,0,True,2,6,0,0,86.314,1.1505,1.6,114.314
sudden-acceleration,Constant velocity memory,1018,1,True,1,3,0,0,111.042,1.3942,1.6,125.042
sudden-acceleration,Constant velocity memory,1018,2,True,1,5,0,0,99.042,1.2377,1.6,119.042
sudden-acceleration,Constant velocity memory,1019,0,True,1,3,0,0,99.042,1.3299,1.6,113.042
sudden-acceleration,Constant velocity memory,1019,1,False,1,3,0,0,14.0,1.5295,1.6,268.0
sudden-acceleration,Constant velocity memory,1019,2,True,0,1,0,0,73.184,1.3682,1.6,76.184
sudden-acceleration,Default uncertainty-aware memory,1000,0,True,1,5,0,0,93.042,1.2761,1.5249,113.042
sudden-acceleration,Default uncertainty-aware memory,1000,1,False,3,5,0,0,31.0,1.3097,1.5258,301.0
sudden-acceleration,Default uncertainty-aware memory,1000,2,True,1,3,0,0,101.912,1.2637,1.5249,115.912
sudden-acceleration,Default uncertainty-aware memory,1001,0,True,3,9,0,0,104.598,1.2524,1.5249,146.598
sudden-acceleration,Default uncertainty-aware memory,1001,1,True,1,5,0,0,99.042,1.2777,1.5249,119.042
sudden-acceleration,Default uncertainty-aware memory,1001,2,True,4,8,0,0,55.485,1.4714,1.5252,99.485
sudden-acceleration,Default uncertainty-aware memory,1002,0,True,1,4,0,0,97.042,1.1922,1.5249,114.042
sudden-acceleration,Default uncertainty-aware memory,1002,1,True,1,5,0,0,91.042,1.4109,1.5249,111.042
sudden-acceleration,Default uncertainty-aware memory,1002,2,True,3,9,0,0,97.243,1.1571,1.5249,139.243
sudden-acceleration,Default uncertainty-aware memory,1003,0,True,2,6,0,0,91.971,1.3601,1.5249,119.971
sudden-acceleration,Default uncertainty-aware memory,1003,1,True,2,6,0,0,89.042,1.191,1.5249,117.042
sudden-acceleration,Default uncertainty-aware memory,1003,2,True,1,4,0,0,103.042,1.1977,1.5249,120.042
sudden-acceleration,Default uncertainty-aware memory,1004,0,True,1,3,0,0,105.87,1.2523,1.5249,119.87
sudden-acceleration,Default uncertainty-aware memory,1004,1,True,3,4,0,0,56.314,1.1794,1.5253,83.314
sudden-acceleration,Default uncertainty-aware memory,1004,2,True,2,5,0,0,123.669,1.3492,1.5248,148.669
sudden-acceleration,Default uncertainty-aware memory,1005,0,True,1,3,0,0,93.042,1.3488,1.5249,107.042
sudden-acceleration,Default uncertainty-aware memory,1005,1,False,2,6,0,0,41.657,1.2242,1.5255,309.657
sudden-acceleration,Default uncertainty-aware memory,1005,2,True,1,3,0,0,102.456,1.2448,1.5249,116.456
sudden-acceleration,Default uncertainty-aware memory,1006,0,True,1,5,0,0,105.527,1.3191,1.5249,125.527
sudden-acceleration,Default uncertainty-aware memory,1006,1,False,1,3,0,0,20.0,1.4777,1.5265,274.0
